area_type,location,size,total_sqft,bath,balcony,price
1,Electronic City Phase II,2.0,1056.0,2.0,1.0,39.07
4,Chikka Tirupathi,4.0,2600.0,5.0,3.0,120.0
2,Uttarahalli,3.0,1440.0,2.0,3.0,62.0
1,Lingadheeranahalli,3.0,1521.0,3.0,1.0,95.0
1,Kothanur,2.0,1200.0,2.0,1.0,51.0
1,Whitefield,2.0,1170.0,2.0,1.0,38.0
1,Marathahalli,3.0,1310.0,3.0,1.0,63.25
1,Whitefield,3.0,1800.0,2.0,2.0,70.0
1,7th Phase JP Nagar,2.0,1000.0,2.0,1.0,38.0
2,Gottigere,2.0,1100.0,2.0,2.0,40.0
4,Sarjapur,3.0,2250.0,3.0,2.0,148.0
1,Mysore Road,2.0,1175.0,2.0,2.0,73.5
1,Bisuvanahalli,3.0,1180.0,3.0,2.0,48.0
1,Raja Rajeshwari Nagar,3.0,1540.0,3.0,3.0,60.0
1,Manayata Tech Park,2.0,1100.0,2.0,2.0,48.0
2,Kengeri,1.0,600.0,1.0,1.0,15.0
1,Binny Pete,3.0,1755.0,3.0,1.0,122.0
1,Bellandur,3.0,1767.0,3.0,1.0,103.0
1, Thanisandra,0.5,510.0,1.0,0.0,25.25
1,Mangammanapalya,3.0,1250.0,3.0,2.0,56.0
1,Electronic City,2.0,660.0,1.0,1.0,23.1
2,Whitefield,3.0,1610.0,3.0,2.0,81.0
1,Ramagondanahalli,2.0,1151.0,2.0,2.0,48.77
1,Electronic City,3.0,1025.0,2.0,1.0,47.0
1,Yelahanka,4.0,2475.0,4.0,0.0,186.0
1,Bisuvanahalli,3.0,1075.0,2.0,1.0,35.0
1,Hebbal,3.0,1760.0,2.0,2.0,123.0
1,Raja Rajeshwari Nagar,3.0,1693.0,3.0,3.0,57.39
1,Kanakpura Road,2.0,700.0,2.0,1.0,36.0
1,Electronics City Phase 1,2.0,1070.0,2.0,1.0,45.5
1,Kundalahalli,3.0,1724.0,3.0,2.0,125.0
1,Chikkalasandra,3.0,1290.0,2.0,2.0,56.12
2,Uttarahalli,2.0,1143.0,2.0,2.0,45.0
1,Sarjapur  Road,3.0,1254.0,3.0,2.0,38.0
1,Ganga Nagar,1.0,600.0,1.0,0.0,38.0
4,Yelahanka,1.0,660.0,1.0,0.0,48.0
1,Kanakpura Road,2.0,1331.0,2.0,2.0,91.79
1,Doddathoguru,2.0,970.0,2.0,0.0,33.0
1,Whitefield,2.0,1459.0,2.0,1.0,94.82
4,KR Puram,2.0,800.0,1.0,1.0,130.0
2,Himagiri Meadows,2.0,869.0,2.0,1.0,36.0
1,Adarsh Nagar,2.0,1270.0,2.0,1.0,50.0
1,Bhoganhalli,3.0,1670.0,3.0,1.0,99.0
2,Whitefield,3.0,2010.0,3.0,2.0,91.0
1,Lakshminarayana Pura,2.0,1185.0,2.0,2.0,75.0
1,Yelahanka,3.0,1600.0,2.0,3.0,75.0
1,Begur Road,2.0,1200.0,2.0,2.0,44.0
1,Ramakrishnappa Layout,2.0,1500.0,2.0,2.0,185.0
4,Murugeshpalya,6.0,1407.0,4.0,1.0,150.0
1,Govindaraja Nagar Ward,2.0,840.0,2.0,2.0,45.0
1,Ganga Nagar,2.0,845.0,2.0,1.0,55.0
2,Varthur,2.0,1160.0,2.0,2.0,44.0
2,Bommanahalli,8.0,3000.0,8.0,0.0,140.0
1,Doddathoguru,2.0,1100.0,2.0,1.0,62.0
1,Gunjur,2.0,1140.0,2.0,3.0,43.0
1,Marathahalli,2.0,1220.0,2.0,1.0,57.0
4,Devarachikkanahalli,8.0,1350.0,7.0,0.0,85.0
1,Kanakpura Road,2.0,1005.0,2.0,1.0,36.68
4,Double Road,3.0,500.0,3.0,2.0,100.0
1,Begur Road,2.0,1358.0,2.0,1.0,80.58
1,Hegde Nagar,3.0,1569.0,3.0,1.0,101.0
1,Haralur Road,2.0,1240.0,2.0,1.0,70.0
